TAHUN_DIBUAT,NAMA_MODEL_YANG_SEBENAR,COUNT_NAMA_MODEL_YANG_SEBENAR
2009,CR-V,2779
2010,CR-V,4847
2011,CR-V,3297
2012,CR-V,2499
2013,CR-V,7949
2014,CR-V,5291
2015,CR-V,7174
2016,CR-V,4721
2017,CR-V,7762
2018,CR-V,11912
2019,CR-V,10861
2020,CR-V,4819
2021,CR-V,6805
2022,CR-V,8792
2023,CR-V,6810
1990,CRX,28
1992,CRX,18
2011,CR-Z,91
2012,CR-Z,2597
2013,CR-Z,1635
2011,CT200H,1194
2012,CT200H,794
2013,CT200H,638
2016,CUBE,8
2017,CUBE,8
2018,CULLINAN,2
2019,CULLINAN,9
2020,CULLINAN,4
2022,CULLINAN,2
2022,CX-3,340
2023,CX-3,1466
2019,CX-30,155
2020,CX-30,1040
2021,CX-30,1073
2022,CX-30,1159
2023,CX-30,3599
2013,CX-5,1
2014,CX-5,1
2019,CX-5,2836
2020,CX-5,5000
2021,CX-5,5990
2022,CX-5,8034
2023,CX-5,4370
2006,CX-7,24
2007,CX-7,177
2008,CX-7,53
2009,CX-7,54
2010,CX-7,76
2011,CX-7,14
2012,CX-7,1
2019,CX-8,472
2020,CX-8,1344
2021,CX-8,1222
2022,CX-8,1696
2023,CX-8,1675
2008,CX-9,73
2009,CX-9,65
2010,CX-9,23
2011,CX-9,2
2018,CX-9,1
2021,CX-9,28
2023,CX-9,6
2016,DAWN,2
2017,DAWN,3
1995,DEFENDER,33
1996,DEFENDER,75
2000,DEFENDER,41
2009,DEFENDER,7
2010,DEFENDER,22
2011,DEFENDER,84
2012,DEFENDER,122
2014,DEFENDER,68
2015,DEFENDER,97
2016,DEFENDER,91
2019,DEFENDER,2
2020,DEFENDER,55
2021,DEFENDER,68
2022,DEFENDER,17
2023,DEFENDER,2
1991,DELICA,326
1991,DELTA,1
2017,DISCOVERY,7
2019,DISCOVERY,18
2008,D-MAX,2
2009,D-MAX,2
2010,D-MAX,3
2014,DS3,84
2015,DS3,35
2016,DS3,9
2013,DS5,3
